ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cabbage,h_cabbage,l_cabbage,c_cabbage,inflation_cabbage,trust_cabbage,o_carrots,h_carrots,l_carrots,c_carrots,inflation_carrots,trust_carrots,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_meat_beef_chops,h_meat_beef_chops,l_meat_beef_chops,c_meat_beef_chops,inflation_meat_beef_chops,trust_meat_beef_chops,o_meat_chicken_whole,h_meat_chicken_whole,l_meat_chicken_whole,c_meat_chicken_whole,inflation_meat_chicken_whole,trust_meat_chicken_whole,o_meat_pork,h_meat_pork,l_meat_pork,c_meat_pork,inflation_meat_pork,trust_meat_pork,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_potatoes,h_potatoes,l_potatoes,c_potatoes,inflation_potatoes,trust_potatoes,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_dish_soap,h_dish_soap,l_dish_soap,c_dish_soap,inflation_dish_soap,trust_dish_soap,o_soap,h_soap,l_soap,c_soap,inflation_soap,trust_soap,o_shampoo,h_shampoo,l_shampoo,c_shampoo,inflation_shampoo,trust_shampoo,o_bleach,h_bleach,l_bleach,c_bleach,inflation_bleach,trust_bleach,o_detergent,h_detergent,l_detergent,c_detergent,inflation_detergent,trust_detergent,o_fabric_softeners,h_fabric_softeners,l_fabric_softeners,c_fabric_softeners,inflation_fabric_softeners,trust_fabric_softeners,o_toothpaste,h_toothpaste,l_toothpaste,c_toothpaste,inflation_toothpaste,trust_toothpaste,o_deodorant,h_deodorant,l_deodorant,c_deodorant,inflation_deodorant,trust_deodorant,o_toilet_paper,h_toilet_paper,l_toilet_paper,c_toilet_paper,inflation_toilet_paper,trust_toilet_paper,components,PHL,Philippines,Region XI,Davao del Norte,Davao del Norte.1,7.45,125.8,gid_745000001258000000,01/01/2008,2008,1,PHP,36.89,38.18,35.73,37.48,3.98,9.26,25.54,26.07,25.1,25.49,0.84,9.03,46.99,46.79,46.12,46.13,1.99,9.41,163.66,165.77,153.67,161.64,0.93,8.49,162.44,165.6,153.9,161.41,1.5,8.07,175.04,182.88,172.1,178.04,1.77,9.05,110.79,113.84,107.25,112.12,3.12,9.65,78.17,79.85,76.83,77.9,3.63,9.44,42.48,43.48,40.55,42.14,2.37,9.94,50.02,52.61,50.27,50.64,1.82,9.74,82.49,85.99,82.24,83.98,1.66,9.48,84.12,83.95,81.04,83.05,3.81,8.42,47.43,47.89,45.09,47.3,0.54,9.5,101.35,100.31,97.47,99.47,1.31,9.27,73.99,78.24,71.38,74.79,0.71,9.36,111.78,113.44,110.46,111.12,1.9,9.73,103.51,108.14,102.66,104.6,0.9,9.76,71.12,72.78,71.25,71.65,3.87,9.78,76.93,76.98,73.4,76.43,1.36,8.97,29.91,30.18,29.83,29.93,2.14,8.94,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,10/10/2007,2007.0,10.0,PHP,38.1,40.18,37.52,38.65,2.3,10.0,32.34,33.0,31.57,33.0,1.66,8.96,33.93,33.39,32.09,33.31,3.39,9.61,130.34,138.68,130.87,132.98,1.25,8.89,135.0,139.08,135.56,136.99,1.04,9.58,92.04,92.95,88.13,90.9,1.82,8.86,154.02,161.34,154.41,156.67,2.22,9.61,48.92,51.1,48.18,49.66,0.82,8.12,43.27,45.27,42.89,44.11,2.76,8.55,75.63,78.18,72.72,74.77,0.85,8.49,75.34,78.1,74.92,76.62,1.28,9.81,78.73,80.29,79.18,79.75,0.86,8.11,50.01,52.5,50.29,50.72,0.51,8.41,82.13,84.2,83.3,83.31,2.58,8.47,72.85,72.89,70.89,72.55,3.78,8.64,107.01,109.58,104.05,105.7,1.71,9.61,105.45,108.38,103.45,105.46,0.91,9.03,75.31,74.61,72.97,74.56,2.8,9.48,78.67,82.85,76.87,80.1,-0.5,8.94,34.94,35.28,34.92,35.0,1.81,9.03,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,11/11/2007,2007.0,11.0,PHP,35.53,36.06,34.81,36.03,2.1,8.61,36.59,37.19,35.51,37.0,1.5,9.13,39.67,41.03,37.22,39.14,1.71,9.74,150.61,156.26,146.66,151.23,1.35,8.48,127.89,132.96,126.36,129.32,2.65,9.97,134.82,138.68,127.06,132.74,3.73,9.55,147.44,152.94,140.08,147.11,1.72,9.18,44.01,44.5,41.73,43.15,1.22,9.25,44.06,43.82,42.72,43.7,3.4,9.18,52.98,55.84,53.25,53.76,2.32,9.43,66.48,67.59,64.36,65.98,2.44,9.07,81.89,84.96,81.12,82.46,-0.37,8.32,53.35,55.74,51.85,54.01,1.09,9.62,129.04,134.35,127.59,129.92,2.5,8.69,85.66,88.51,82.35,85.45,1.72,9.34,87.62,87.57,85.01,86.78,1.04,8.85,88.37,92.16,85.57,88.97,3.15,9.26,73.04,76.33,73.49,73.73,1.38,8.25,88.12,88.5,86.19,88.31,1.82,8.54,44.21,45.37,41.94,43.82,2.25,9.13,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,12/12/2007,2007.0,12.0,PHP,43.28,43.52,41.99,42.64,0.62,8.65,25.82,26.67,25.4,26.34,0.14,8.91,29.75,30.04,28.18,29.53,2.38,9.65,131.6,135.39,129.19,131.08,4.82,8.56,146.86,150.38,140.36,146.22,-0.66,9.53,128.41,129.47,124.61,128.3,2.19,8.59,120.23,123.15,116.7,118.02,0.94,9.1,68.72,69.17,65.33,68.15,2.88,9.89,45.34,46.72,44.41,44.87,1.64,9.97,64.22,66.07,61.84,63.29,1.78,9.58,58.23,58.21,55.87,57.93,5.25,9.21,100.28,103.71,96.63,99.01,2.5,9.54,41.51,41.61,40.39,41.14,3.38,9.46,99.4,103.7,95.92,100.84,0.34,8.38,75.32,76.2,73.46,74.71,-1.34,9.34,129.99,134.4,129.85,131.47,2.5,8.01,103.78,107.42,102.25,105.67,2.07,9.86,74.47,77.59,74.09,75.26,2.14,8.48,92.23,93.58,90.6,90.71,3.29,9.67,46.27,46.92,45.51,46.21,2.49,9.08,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/01/2021,2021.0,1.0,PHP,34.61,34.2,32.75,34.04,1.88,8.42,16.35,16.8,15.77,16.34,1.81,9.01,25.37,25.62,24.44,25.2,2.47,9.06,101.48,103.64,98.16,101.93,3.01,8.64,133.71,137.14,127.12,131.31,1.82,8.87,97.62,99.35,98.44,99.3,2.93,8.51,111.55,116.53,110.06,111.7,2.18,9.28,37.0,37.54,36.15,37.17,2.58,8.16,42.42,44.37,42.72,43.09,0.51,8.03,32.48,33.93,31.12,32.32,0.2,9.72,149.74,150.2,148.2,148.51,1.27,8.46,86.13,89.59,85.69,87.43,1.37,8.06,33.87,34.6,33.34,33.41,3.86,8.48,73.25,76.78,72.34,74.74,0.98,9.12,69.3,70.22,65.81,68.39,2.66,9.46,169.79,178.96,170.16,172.01,3.03,8.85,75.0,78.68,74.96,75.28,3.04,8.58,139.63,142.04,134.65,138.39,1.98,9.12,96.59,96.95,93.02,96.03,2.06,9.43,75.77,75.56,72.09,74.87,3.65,8.62,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,02/02/2021,2021.0,2.0,PHP,38.43,40.03,38.21,38.24,0.88,9.71,45.22,45.71,45.29,45.32,1.77,9.9,24.7,24.81,24.22,24.48,2.04,8.03,231.52,232.96,223.42,228.43,1.04,9.36,263.24,266.3,252.16,261.83,3.32,9.81,140.73,141.48,139.82,139.89,1.91,9.84,136.85,137.22,134.62,135.71,1.17,9.77,52.4,52.99,50.11,51.46,3.33,8.28,42.34,43.44,41.64,43.05,1.6,9.18,12.28,12.37,11.77,12.37,2.45,9.08,87.81,89.27,83.56,86.52,1.39,8.39,159.59,165.85,159.1,160.29,3.46,8.22,97.12,100.51,96.76,97.06,1.49,8.87,37.55,38.32,36.75,37.07,1.26,9.23,22.91,24.07,22.52,23.08,0.85,8.29,112.16,111.48,108.03,111.0,-1.1,9.83,49.99,49.93,49.27,49.86,0.67,9.99,97.41,102.3,95.38,99.11,2.67,9.51,59.92,63.26,60.18,60.42,4.34,9.14,78.6,81.22,75.48,78.23,1.96,9.85,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,03/03/2021,2021.0,3.0,PHP,37.43,38.07,35.45,36.87,2.3,9.83,11.7,12.09,11.12,11.67,2.14,9.26,11.89,12.59,11.72,12.09,2.33,8.91,52.28,53.58,49.65,51.53,1.7,8.3,257.79,272.32,260.21,261.22,0.86,9.38,118.62,119.33,115.84,118.33,1.99,8.7,130.35,131.01,129.12,129.54,2.8,8.6,73.45,78.23,74.39,74.56,2.69,8.2,29.61,30.25,28.99,29.99,1.05,8.13,33.89,34.23,34.11,34.13,1.66,8.94,58.03,58.32,54.28,57.09,2.09,8.06,60.91,61.51,60.3,60.96,1.26,8.8,48.03,50.2,46.69,48.38,2.28,9.59,343.13,353.29,336.31,342.87,1.18,9.69,439.47,451.19,438.78,442.9,0.53,8.21,183.38,182.86,179.26,180.74,2.16,9.37,164.45,169.89,160.14,164.56,1.47,8.28,85.73,87.06,82.78,84.52,1.49,9.98,80.25,80.24,78.28,79.19,2.81,9.27,46.51,47.71,45.75,47.03,2.54,9.74,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,04/04/2021,2021.0,4.0,PHP,35.65,37.14,34.35,35.67,2.25,9.98,36.2,36.31,34.35,35.66,2.46,8.44,32.0,32.34,30.89,31.54,2.14,8.78,78.05,80.62,75.97,77.87,2.78,8.87,118.7,122.43,115.53,118.31,2.35,9.57,271.4,282.81,266.01,274.89,1.99,9.93,664.04,684.3,660.44,675.9,3.41,8.73,33.43,34.29,32.91,33.34,2.42,9.68,27.98,28.39,27.63,27.69,0.99,8.67,27.31,28.08,26.56,27.67,0.26,8.55,88.58,90.96,86.63,87.66,1.44,9.89,99.79,102.05,99.05,99.51,2.1,9.77,30.91,31.85,29.85,30.44,2.08,8.62,17.65,18.36,17.88,17.97,2.91,8.78,297.89,315.82,299.16,303.59,1.93,8.13,50.28,52.39,48.07,50.14,1.63,9.32,17.55,17.66,16.52,17.29,3.92,8.45,98.27,99.61,91.95,96.37,2.56,8.13,54.98,54.42,54.06,54.12,0.63,8.72,28.73,28.76,27.17,28.36,0.37,9.51,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,05/05/2021,2021.0,5.0,PHP,14.19,14.88,13.69,14.28,3.6,9.42,29.48,30.3,29.02,29.36,3.07,8.38,41.53,42.21,40.33,40.91,-0.08,9.51,110.47,108.72,108.49,108.6,1.42,8.43,152.64,154.71,146.75,152.89,2.52,9.91,74.06,75.78,72.7,74.21,0.25,9.44,61.94,63.22,59.86,60.86,2.27,9.69,49.06,48.51,48.16,48.21,0.57,9.61,56.61,57.82,54.08,55.73,2.57,9.65,43.38,45.39,42.62,43.71,1.83,8.41,54.12,57.12,52.43,54.45,4.18,9.03,44.02,46.19,43.51,44.9,1.61,8.91,82.17,83.27,81.9,83.22,1.81,9.02,54.07,55.0,54.55,54.95,1.35,9.67,59.47,61.52,59.71,60.48,2.05,8.71,127.31,132.95,122.74,127.27,2.33,9.02,86.02,89.0,82.31,85.89,3.75,9.69,157.03,160.48,155.06,156.18,0.87,8.84,38.96,40.1,38.76,38.79,-0.97,8.51,22.45,23.13,22.47,22.49,1.34,9.56,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,06/06/2021,2021.0,6.0,PHP,56.83,57.86,55.34,56.92,2.51,9.05,12.61,13.18,12.71,12.86,2.13,8.48,37.74,38.25,37.19,38.14,3.78,9.02,108.55,110.99,106.22,109.15,2.36,8.28,274.03,286.17,267.87,278.95,1.83,9.3,229.84,229.52,216.28,227.15,1.62,9.66,97.4,99.19,91.83,96.11,0.87,8.24,71.22,72.8,70.14,70.23,2.85,8.93,16.33,17.05,16.27,16.37,1.9,9.95,39.6,40.42,39.55,40.34,2.86,8.73,27.06,27.48,26.32,26.59,1.46,9.58,104.4,107.15,105.02,105.44,0.89,8.96,36.9,36.6,35.81,36.53,1.6,8.44,137.64,144.66,132.75,138.64,1.64,8.28,127.93,129.88,120.99,125.92,2.88,8.11,65.93,70.22,65.21,66.93,0.49,8.73,83.57,86.04,81.01,85.25,0.48,8.74,38.97,39.58,37.54,38.75,3.38,9.37,29.85,30.64,29.22,29.94,2.45,8.89,54.3,54.9,52.7,53.68,0.93,8.97,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,07/07/2021,2021.0,7.0,PHP,21.77,22.9,21.25,21.89,2.94,9.22,19.85,20.77,19.5,19.89,1.64,9.33,23.96,24.02,23.63,24.01,1.77,9.65,146.7,152.68,142.23,148.99,2.62,8.96,64.86,64.88,62.63,64.62,2.56,9.12,115.66,116.7,115.05,115.08,1.1,9.7,77.41,80.63,74.5,76.83,1.85,9.64,46.85,47.63,44.58,45.94,2.17,8.32,157.95,160.05,154.65,158.77,1.17,9.82,66.26,69.29,65.67,66.47,4.57,9.86,48.15,50.6,46.22,48.4,3.67,9.95,126.06,127.26,122.96,123.63,0.89,8.78,33.65,35.02,32.52,33.81,2.86,9.4,44.98,45.58,43.36,45.35,1.59,8.67,93.23,98.42,90.65,94.25,3.26,9.86,328.76,333.97,320.81,329.48,1.77,8.02,104.14,104.84,101.62,104.3,3.07,9.41,14.53,15.51,14.18,14.8,2.64,9.79,17.24,18.09,16.91,17.41,2.43,8.87,70.16,73.55,70.69,70.69,2.36,8.75,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,08/08/2021,2021.0,8.0,PHP,23.23,24.39,22.57,23.49,2.88,8.03,27.06,27.96,27.22,27.59,1.85,9.12,21.86,22.14,20.7,21.73,2.95,9.62,78.91,81.57,78.11,78.99,2.23,9.15,137.87,139.13,137.12,137.69,-0.52,9.14,164.8,162.84,160.45,162.16,2.94,8.7,87.93,91.49,88.64,89.54,2.23,9.07,57.38,59.38,57.28,57.4,0.5,9.97,39.84,41.05,38.28,39.22,1.63,8.68,54.34,55.66,52.96,53.8,3.4,8.12,16.26,16.66,16.11,16.35,2.3,9.47,70.97,71.17,69.42,70.92,1.02,9.64,58.64,61.1,57.64,58.94,2.22,8.29,104.91,111.79,104.3,106.68,3.21,9.59,70.16,70.79,67.97,69.59,0.39,8.87,129.37,133.75,125.44,128.13,3.04,9.42,136.1,142.33,137.27,138.49,3.06,9.18,76.37,77.77,72.73,75.56,3.21,9.69,42.86,44.04,41.19,42.71,2.15,8.39,33.08,33.45,32.15,32.47,4.16,8.14,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
